frame,Track1,Track4
0,4.33243,2.77398
1,4.17839,2.89291
2,3.89351,3.37308
3,3.24992,3.54872
4,3.24481,4.02164
5,3.18022,2.83464
6,2.7691,2.6339
7,2.57793,2.67475
8,2.37289,2.35097
9,2.28756,2.56474
10,2.20217,3.06849
11,2.17049,2.92416
12,2.27767,2.78945
13,2.31914,3.13987
14,2.39269,2.99438
15,2.44051,2.77344
16,2.40516,2.66297
17,2.46833,2.68407
18,2.70813,2.81938
19,3.40936,2.84215
20,4.07866,2.83967
21,3.99159,2.90424
22,4.05853,2.93816
23,4.09255,2.71491
24,4.15965,2.73253
25,4.01306,2.69742
26,3.90085,2.67424
27,3.98597,2.76509
28,4.20824,2.78389
29,3.96911,2.89892
30,3.08773,2.77399
31,2.60345,2.59823
32,2.39265,2.71749
33,2.34672,2.7778
34,2.51534,2.86532
35,2.8874,2.88339
36,3.44753,2.85111
37,3.6487,3.28039
38,3.72923,3.25549
39,3.66307,3.49541
40,3.64252,3.69492
41,3.71079,3.7063
42,3.78506,3.51743
43,3.82224,3.53503
44,3.77276,3.49791
45,3.25365,3.4707
46,2.72864,3.58038
47,2.63908,3.55532
48,2.52133,3.50372
49,2.52867,3.65074
50,2.80451,3.6781
51,3.64553,3.64499
52,4.13908,3.50343
53,4.0824,3.39977
54,4.04396,3.70232
55,4.08937,3.95943
56,4.04896,3.94767
57,3.88441,4.0915
58,3.66271,4.24906
59,3.61826,4.33191
60,3.69129,4.32867
61,3.66751,4.25188
62,3.47762,4.27232
63,3.70203,4.13221
64,3.81175,4.21719
65,3.58234,4.24546
66,3.15703,4.31343
67,2.84916,4.3855
68,2.65497,4.24838
69,2.36698,4.26039
70,2.27567,4.15703
71,2.23963,4.05756
72,2.04291,4.11208
73,2.53257,4.0616
74,2.65002,3.99751
75,2.61337,4.02342
76,2.5485,4.01865
77,2.63882,4.10233
78,2.65054,4.06353
79,2.72092,3.96704
80,2.90266,3.82498
81,2.96969,3.89911
82,2.95216,3.91583
83,3.38387,3.8566
84,3.67976,4.03645
85,3.95011,4.16591
86,3.98533,4.28578
87,4.08319,4.05634
88,3.59933,4.22817
89,3.2606,4.51392
90,3.14265,4.31162
91,3.00149,4.05348
92,2.79169,3.94772
93,2.74731,3.91278
94,2.81543,4.14426
95,2.87469,4.30624
96,3.13267,4.35057
97,3.54964,4.51647
98,4.05159,4.37392
99,4.25002,3.40707
100,4.28951,2.75368
101,4.40154,2.31906
102,4.45147,2.35706
103,4.32636,2.58474
104,3.6603,2.68302
105,3.6542,2.71792
106,3.64626,2.74482
107,3.62933,2.7875
108,3.62338,2.90608
109,3.55831,2.84344
110,3.44645,2.83445
111,3.13733,2.88245
112,3.05853,2.72222
113,3.00567,3.60946
114,3.32763,4.19657
115,3.72319,3.8812
116,4.26191,4.09153
117,4.32182,4.33242
118,4.26617,4.35668
119,4.08641,4.33334
120,3.94212,4.33627
121,3.89465,4.35748
122,3.91418,4.47207
123,3.92476,4.64432
124,3.98965,4.73549
125,3.93756,4.88309
126,3.87112,4.41352
127,4.00773,3.54275
128,4.21072,2.80691
129,4.03263,2.32475
130,3.73134,2.43098
131,3.20112,2.7277
132,3.01442,3.14011
133,2.88838,3.19803
134,2.78352,3.17256
135,2.80243,3.2583
136,2.87798,3.19048
137,3.25942,3.14668
138,3.98406,3.45194
139,4.23497,3.47063
140,4.14903,3.94961
141,4.16485,4.3544
142,4.23112,4.13057
143,4.34404,4.07286
144,4.29642,4.27145
145,4.17663,4.45921
146,3.54186,4.39804
147,3.24244,4.33681
148,3.10939,4.43419
149,2.92741,4.58747
150,2.75421,4.77548
151,2.83449,4.83375
152,3.3746,4.36275
153,4.38113,3.5986
154,4.2078,3.03841
155,4.16181,2.7714
156,4.13736,2.67524
157,4.11315,2.93168
158,4.14138,3.17574
159,4.26305,3.25272
160,4.26601,3.43527
161,4.29069,3.4266
162,3.94229,3.42389
163,3.29277,3.49254
164,2.88681,3.61524
165,2.86672,3.66257
166,2.65348,3.85973
167,2.80096,4.11057
168,3.29613,3.98352
169,4.13151,4.02934
170,4.23728,4.37289
171,3.99206,4.52669
172,3.92553,4.40638
173,3.96909,4.41279
174,3.8671,4.55056
175,3.91377,4.7701
176,3.8161,4.65219
177,3.81508,4.41321
178,3.87185,3.75568
179,3.94673,3.085
180,3.9842,2.70236
181,3.95201,2.85053
182,4.13376,3.02326
183,4.21152,3.00722
184,4.17235,2.9675
185,4.15682,2.88124
186,3.14129,2.94108
187,2.72986,3.09959
188,2.51845,3.13205
189,2.3038,3.50797
190,2.32276,3.76105
191,2.40139,3.76861
192,2.66611,3.88255
193,3.20283,4.02937
194,3.90652,4.13286
195,4.6776,4.1752
196,4.65376,4.05882
197,4.60448,
198,4.85765,
199,4.29989,
200,3.88396,
201,3.8391,
202,3.90286,
203,3.75308,
204,3.68686,
205,3.6687,
206,3.71771,
207,3.77988,
208,3.48764,
209,2.88802,
210,2.49995,
211,2.30433,
212,2.24723,
213,2.30818,
214,2.71199,
215,3.54275,
216,3.43615,
217,3.54515,
218,3.47897,
219,3.5602,
220,3.62939,
221,3.70126,
222,3.81559,
223,4.0277,
224,4.01777,
225,3.68562,
226,3.11907,
227,2.54724,
228,2.28359,
229,2.21639,
230,2.2329,
231,2.31494,
232,2.66601,
233,3.19105,
234,3.37759,
235,3.44371,
236,3.51404,
237,3.55794,
238,3.70965,
239,3.67116,
240,3.46162,
241,3.02492,
242,2.5396,
243,2.36536,
244,2.31774,
245,2.16868,
246,2.16934,
247,2.47294,
248,2.97433,
249,3.28399,
250,3.25445,
251,3.32941,
252,3.45121,
253,3.47642,
254,3.61827,
255,3.66072,
256,3.53932,
257,2.93705,
258,2.61018,
259,2.42076,
260,2.31595,
261,2.30459,
262,2.86711,
263,3.87312,
264,3.65194,
265,3.37793,
266,3.35197,
267,3.38785,
268,3.33543,
269,3.37123,
270,3.35947,
271,3.26049,
272,3.37425,
273,3.46799,
274,3.57423,
275,3.59967,
276,3.60709,
277,3.26388,
278,2.84881,
279,2.69678,
280,2.62259,
281,2.48014,
282,2.42784,
283,2.55975,
284,2.58238,
285,3.38571,
286,3.57462,
287,3.65992,
288,3.88299,
289,3.77001,
290,3.80572,
291,3.57745,
292,3.02914,
293,3.05113,
294,2.8723,
295,2.6058,
296,2.58362,
297,2.48567,
298,2.43446,
299,2.64586,
300,2.94049,
301,3.47504,
302,3.89062,
303,3.81392,
304,3.83472,
305,4.09506,
306,4.14566,
307,3.77221,
308,3.12289,
309,3.00758,
310,2.97072,
311,2.72262,
312,2.64131,
313,2.62232,
314,2.6663,
315,2.83867,
316,3.06579,
317,3.46963,
318,4.24362,
319,4.37515,
320,4.37788,
321,4.55224,
322,4.62412,
323,4.22285,
324,3.33378,
325,3.21581,
326,2.90897,
327,2.71503,
328,2.63597,
329,2.48333,
330,2.44958,
331,2.52318,
332,2.55612,
333,2.7073,
334,2.73365,
335,2.76674,
336,2.75596,
337,2.71297,
338,2.84021,
339,3.11252,
340,3.79811,
341,4.10133,
342,4.03072,
343,4.04056,
344,4.03888,
345,4.04971,
346,4.11709,
347,3.9787,
348,3.55167,
349,3.16253,
350,2.98321,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
